Tip ustanove:;Osnovna škola;;;;;;
Županija:;Osječko-Baranjska;;;;;;
Datum ispisa:;01.06.2014.;;;;;;
;;;;;;;
Osnovna škola Šećerana;;;;;Mišljenje Vijeća roditelja: pozitivno;;
Kat. Br.;Naziv udžbenika;Autor(i);Vrsta izdanja;Cijena;Nakladnik;Novo;Razred
5738;PRIRODA 6 : radna bilježnica za prirodu u šestom razredu osnovne škole;Damir Bendelja, Edina Operta, Renata Roščak, Helena Valečić;radna bilježnica;49,00;ŠK;Novo;6. razred osnovne škole
GEOGRAFIJA ;;;;;;;
5158;GEOGRAFIJA 6 : radna bilježnica iz geografije za šesti razred osnovne škole;Slaven Imre, Vesna Janko, Renata Kanceljak, Ivana Paradi;radna bilježnica;42,00;PROFIL;Novo;6. razred osnovne škole
5157;GEOGRAFIJA 6 : udžbenik geografije za šesti razred osnovne škole;Slaven Imre, Vesna Janko, Renata Kanceljak, Ivana Paradi, Zoran Stiperski;udžbenik;64,00;PROFIL;Novo;6. razred osnovne škole
GEOGRAFIJA - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
2899;PUT OKO SVIJETA : udžbenik s radnom bilježnicom i CD-om iz geografije za učenike s posebnim obrazovnim potrebama za 6. razred osnovne škole;Lidija Borko, Tomislav Štancl;udžbenik s radnom bilježnicom i CD-om;121,00;MERIDIJANI;;6. razred osnovne škole
POVIJEST ;;;;;;;
4621;POVIJEST 6 : radna bilježnica za 6. razred osnovne škole;Ante Birin, Tomislav Šarlija;radna bilježnica;37,00;ALFA;Novo;6. razred osnovne škole
4620;POVIJEST 6 : udžbenik za 6. razred osnovne škole;Ante Birin, Tomislav Šarlija;udžbenik;58,00;ALFA;Novo;6. razred osnovne škole
POVIJEST - ZA UČENIKE S POSEBNIM OBRAZOVNIM POTREBAMA ;;;;;;;
4730;PUT U PROŠLOST 6 : udžbenik s radnom bilježnicom za učenike sa smetnjama u razvoju;Nera Kovačić-Malbaša, Danijela Jugo-Superina;udžbenik;125,00;ALKA;Novo;6. razred osnovne škole
LIKOVNA KULTURA ;;;;;;;
5679;MOJE BOJE 6 : udžbenik likovne kulture s višemedijskim nastavnim materijalima u šestom razredu osnovne škole;Miroslav Huzjak, Ivana Rupić;udžbenik s višemedijskim nastavnim materijalima;35,00;ŠK;Novo;6. razred osnovne škole
TEHNIČKA KULTURA ;;;;;;;
5304;TEHNIČKA KULTURA 6 : radni materijal za izvođenje vježbi i praktičnog rada iz tehničke kulture za šesti razred osnovne škole;Leon Zakanji, Saša Egić, Dragutin Labaš, Stjepan Androlić, Željko Medved, Tamara Valčić, Dragan Vlajinić;radni materijal;98,00;PROFIL;Novo;6. razred osnovne škole
5303;TEHNIČKA KULTURA 6 : udžbenik tehničke kulture za šesti razred osnovne škole;Marijan Vinković, Dragutin Labaš, Stjepan Androlić, Željko Medved;udžbenik;35,00;PROFIL;Novo;6. razred osnovne škole
